product_id,product_url,name,price,shop_id,shop_url,shop_name,product_id2
534671,https://tiki.vn/noi-vong-tu-dong-cao-cap-vinanoi-vnn-301-go-thong-new-zealand-mau-tu-nhien-p534671.html?spid=24909961,Nôi Võng Tự Động Cao Cấp VINANOI VNN-301 (Gỗ Thông New Zealand) - Màu Tự Nhiên,3.599.999đ,10870,https://tiki.vn/cua-hang/me-be-soc-nau,Mẹ bé Sóc Nâu,24909961
1343609,https://tiki.vn/xich-du-nam-choi-tre-em-mastela-6558-trang-ghi-p1343609.html?spid=25306767,Xích Đu Nằm Chơi Trẻ Em Mastela 6558 - Trắng Ghi,1.789.000đ,60368,https://tiki.vn/cua-hang/tilomart,TILOMART,25306767
55900446,https://tiki.vn/bo-noi-dien-thong-minh-da-nang-cao-cap-3-chuc-nang-cho-em-be-giuong-vong-noi-cui-duoc-lam-bang-go-tu-nhien-chat-luong-cao-de-dang-ve-sinh-cuc-ky-an-toan-thoang-mat-dung-cho-be-den-5-tuoi-p55900446.html?spid=55900447,"BỘ NÔI ĐIỆN THÔNG MINH  ĐA NĂNG CAO CẤP 3 CHỨC NĂNG CHO EM BÉ ( GIƯỜNG, VÕNG, NÔI, CŨI) - được làm bằng gỗ tự nhiên chất lượng cao- dễ dàng vệ sinh- cực kỳ an toàn- thoáng mát- dùng cho bé đến 5 tuổi",1.800.000đ,121120,https://tiki.vn/cua-hang/noi-dien-xich-du,NÔI ĐIỆN XÍCH ĐU,55900447
9885934,https://tiki.vn/ghe-noi-da-nang-rishena-mau-xanh-p9885934.html?spid=9885935,Ghế nôi đa năng Rishena màu xanh,12.300.000đ,6654,https://tiki.vn/cua-hang/mamanbebe,Mamanbebe,9885935
1343613,https://tiki.vn/xich-du-nam-choi-tre-em-mastela-6579-xanh-p1343613.html?spid=12514694,Xích Đu Nằm Chơi Trẻ Em Mastela 6579 - Xanh,1.399.000đ,15437,https://tiki.vn/cua-hang/toys-house,TOYS HOUSE,12514694
55720815,https://tiki.vn/combo-xe-nhun-an-bot-bap-benh-kem-man-che-01-bo-chen-chia-ngan-1-nut-bit-o-dien-p55720815.html?spid=55720821,"COMBO Xe nhún ăn bột bập bênh kèm màn che +  01 bộ chén chia ngăn, 1 nút bịt ổ điện ",529.000đ,66767,https://tiki.vn/cua-hang/mebena,mebena,55720821
55398131,https://tiki.vn/combo-ghe-rung-noi-nhun-an-bot-bap-benh-kem-mung-muong-an-dam-cho-be-tang-1-mu-cute-p55398131.html?spid=55398133,"COMBO Ghế Rung, Nôi Nhún Ăn Bột Bập Bênh Kèm Mùng + Muỗng Ăn Dặm Cho Bé - Tặng 1 MŨ CUTE",510.000đ,3049,https://tiki.vn/cua-hang/me-mia,mẹ mía,55398133
36828942,https://tiki.vn/noi-tu-dong-thiet-ke-thong-minh-cho-be-mau-xanh-p36828942.html?spid=36828943,Nôi tự động thiết kế thông minh cho bé màu Xanh,2.390.000đ,85244,https://tiki.vn/cua-hang/gold-kids-mart,Gold Kids Mart,36828943
3551403,https://tiki.vn/noi-dong-spring-1-cbsprdm1-ibie-p3551403.html?spid=3684909,Nôi Động Spring 1 CBSPRDM1 IBIE,2.490.000đ,1142,https://tiki.vn/cua-hang/ibie-furniture,IBIE Furniture,3684909
8091072,https://tiki.vn/noi-tu-dong-cao-cap-mastela-dieu-khien-tu-xa-co-nhac-sg237-pink-p8091072.html?spid=12509476,"Nôi tự động cao cấp Mastela điều khiển từ xa, có nhạc SG237 (Pink)",2.358.000đ,15437,https://tiki.vn/cua-hang/toys-house,TOYS HOUSE,12509476
24409094,https://tiki.vn/noi-vong-tu-dong-cho-be-2-trong-1-vinanoi-nv35-suc-dua-35kg-p24409094.html?spid=24409096,Nôi võng tự động cho bé 2 trong 1 VINANOI - NV35 sức đưa 35kg,1.550.000đ,986,https://tiki.vn/cua-hang/oh-my-shop,Oh My Shop,24409096
47327031,https://tiki.vn/noi-nhun-co-mai-che-co-dai-p47327031.html?spid=49227274,Nôi Nhún Có Mái Che Cỡ Đại,550.000đ,50795,https://tiki.vn/cua-hang/shop-con-ngoan,SHOP CON NGOAN,49227274
9885943,https://tiki.vn/ghe-noi-da-nang-vui-nhon-joy-combi-p9885943.html?spid=9885944,Ghế nôi đa năng vui nhộn Joy Combi,8.590.000đ,6654,https://tiki.vn/cua-hang/mamanbebe,Mamanbebe,9885944
50885139,https://tiki.vn/noi-dien-cao-cap_chat-luong_an-toan_cham-soc-giac-ngu-cho-be-giao-mau-ngau-nhien-p50885139.html?spid=56049497,Nôi Điện Cao Cấp_Chất Lượng_An Toàn_Chăm Sóc Giấc Ngủ Cho Bé (Giao Mẫu Ngẫu Nhiên),799.000đ,129696,https://tiki.vn/cua-hang/tuoi-tho-ben-con,Tuổi Thơ Bên Con,56049497
8154227,https://tiki.vn/giuong-soi-tre-lol-baby-bumper-rainy-cloud-p8154227.html?spid=8206857,Giường Sợi Tre LOL Baby Bumper Rainy Cloud,8.400.000đ,4068,https://tiki.vn/cua-hang/rotho-babydesign-vietnam,TopPapa,8206857
8714203,https://tiki.vn/ghe-noi-da-nang-combi-bedi-kem-man-chup-magic-p8714203.html?spid=8714204,Ghế nôi đa năng Combi BEDi kèm màn chụp Magic,13.490.000đ,6654,https://tiki.vn/cua-hang/mamanbebe,Mamanbebe,8714204
16434819,https://tiki.vn/noi-dien-dai-vi-2-in-1-cho-be-p16434819.html?spid=56049496,Nôi điện Đại Vĩ 2 In 1 cho bé,769.000đ,129696,https://tiki.vn/cua-hang/tuoi-tho-ben-con,Tuổi Thơ Bên Con,56049496
4323309,https://tiki.vn/ghe-rung-bap-benh-nam-choi-tre-em-2-vi-tri-nga-co-nhac-mastela-6903-hong-hoa-tiet-p4323309.html?spid=12509479,"Ghế Rung, Bập Bênh Nằm Chơi Trẻ Em 2 Vị Trí Ngả Có Nhạc Mastela 6903 - hồng họa tiết",879.000đ,15437,https://tiki.vn/cua-hang/toys-house,TOYS HOUSE,12509479
26439506,https://tiki.vn/xich-du-nam-choi-tre-em-mastela-6504-p26439506.html?spid=26660060,Xích đu nằm chơi trẻ em Mastela 6504,1.299.000đ,15437,https://tiki.vn/cua-hang/toys-house,TOYS HOUSE,26660060
16207143,https://tiki.vn/ghe-rung-dieu-chinh-do-cao-up-down-beaba-p16207143.html?spid=16207149,Ghế rung điều chỉnh độ cao Up & Down Béaba,5.990.000đ,6654,https://tiki.vn/cua-hang/mamanbebe,Mamanbebe,16207149
2207881,https://tiki.vn/noi-vong-dien-sbaby-nv15-p2207881.html?spid=2207883,Nôi võng điện Sbaby NV15,1.290.000đ,2757,https://tiki.vn/cua-hang/anokia,ANOKIA,2207883
49499795,https://tiki.vn/noi-dua-tre-em-joie-serina-swivel-nature-s-alphabet-p49499795.html?spid=49499796,Nôi Đưa Trẻ Em Joie Serina Swivel Nature's Alphabet,3.219.000đ,1,https://tiki.vn/cua-hang/tiki-trading,Tiki Trading,49499796
21403754,https://tiki.vn/noi-tre-em-p21403754.html?spid=21403755,Nôi trẻ em,2.100.000đ,52422,https://tiki.vn/cua-hang/lan-phuong-shop,Lan Phương Shop,21403755
4331343,https://tiki.vn/noi-ru-ngu-cao-cap-dieu-kien-tu-xa-mastela-sg327-mau-hong-p4331343.html?spid=25306824,Nôi Ru Ngủ Cao Cấp Điều Kiển Từ Xa Mastela SG327 (Màu Hồng),2.588.000đ,60368,https://tiki.vn/cua-hang/tilomart,TILOMART,25306824
26426529,https://tiki.vn/noi-rung-kiem-ghe-bap-benh-5-trong-1-mastela-6038-p26426529.html?spid=29344090,Nôi rung kiêm ghế bập bênh 5 trong 1 Mastela 6038,1.550.000đ,13666,https://tiki.vn/cua-hang/gau-bi-ngo,Gấu và Bí Ngô,29344090
