product_id,product_url,name,price,shop_id,shop_url,shop_name,shop_owner
1791564798,https://shopee.vn/product/66253003/1791564798,"xe đẩy 2 chiều 3 tư thế, gấp gọn, bánh xe chống sốc, tai thỏ",679000.0,66253003,https://shopee.vn/eliquang89,Shop_Ba&Mẹ_ThôngThái,eliquang89
5533438340,https://shopee.vn/product/422079/5533438340,XE ĐẨY GẤP GỌN SIÊU NHẸ CHO BÉ,480000.0,422079,https://shopee.vn/beyeu81,Moony-Yiying-Goldgi-Yubest,beyeu81
2031030958,https://shopee.vn/product/134743676/2031030958,XE ĐẨY 2 CHIỀU 3 TƯ THẾ CHO BÉ QD109,540000.0,134743676,https://shopee.vn/shopmamakids_vn,Shopmamakids_vn,shopmamakids_vn
6505981900,https://shopee.vn/product/52599570/6505981900,[CHÍNH HÃNG][TẶNG KÈM CHĂN LƯỚI COMFY] Nôi tự động cao cấp Mastela SG239,1850000.0,52599570,https://shopee.vn/chi.thuy1011,Yunie BaBy,chi.thuy1011
1676717285,https://shopee.vn/product/54474255/1676717285,Xe đẩy 2 chiều Zaracos Nano 2986 Grey,3099000.0,54474255,https://shopee.vn/mai030384,chamsocbesosinh,mai030384
3900971587,https://shopee.vn/product/36371562/3900971587,Xe đẩy gấp gọn cao cấp B- Beko (Xe đẩy Anh),1650000.0,36371562,https://shopee.vn/shopgaubingo,Gấu & Bí Ngô ,shopgaubingo
2023204601,https://shopee.vn/product/14289318/2023204601,"XE ĐẨY CHO BÉ CAO CẤP GẤP GỌN ( tặng màn chống muỗi, đệm và chiếu điều hoà)",890000.0,14289318,https://shopee.vn/gun1507,SHOP MẸ VÀ BÉ (đồ dùng ăn dặm),gun1507
5433237792,https://shopee.vn/product/69948081/5433237792,Xe Đẩy 1 CHiều 3 tư thế mùa hè cho trẻ,628000.0,69948081,https://shopee.vn/nhym666,nhym666,nhym666
3107582987,https://shopee.vn/product/113288583/3107582987,Xe đẩy Vovo 2 chiều- Phiên bản mới kèm chắn nắng,1550000.0,113288583,https://shopee.vn/sishibaby_ngodieuhang,sishibaby_ngodieuhang,sishibaby_ngodieuhang
5605219247,https://shopee.vn/product/158616416/5605219247,Xe đẩy 2 chiều Baobaohao V5 và V3 PLUS ( KÈM HÌNH THẬT ),949000.0,158616416,https://shopee.vn/vbaby.care,V-Baby Care,vbaby.care
2299038231,https://shopee.vn/product/110571246/2299038231,XE ĐẨY 1 CHIỀU GẤP GỌN VOVO TRAVEL - CHÍNH HÃNG BẢO HÀNH 12 THÁNG,1330000.0,110571246,https://shopee.vn/banbuondososinh1,banbuondososinh1,banbuondososinh1
3229484013,https://shopee.vn/product/10479484/3229484013,(RẺ VÔ ĐỊCH) CŨI CHO BÉ NHẬP KHẨU HÀN QUỐC - KIDS HOLLYWOOD (SHIP TQ),1449000.0,10479484,https://shopee.vn/baby.face,URBAN KIDS,baby.face
1256554914,https://shopee.vn/product/21007449/1256554914,Xe đẩy Seebaby QQ2 gập gọn (2 tư thế),616000.0,21007449,https://shopee.vn/hotro.dodungtreem1,Quân Quang Baby Shop,hotro.dodungtreem1
2451348715,https://shopee.vn/product/162792609/2451348715,Xe đẩy PLAYKIDS Platinum cao cấp,1750000.0,162792609,https://shopee.vn/babymart86,BABYMART86,babymart86
370006499,https://shopee.vn/product/27705992/370006499,Xe đẩy cho bé 2 chiều 3 tư thế giá rẻ,850000.0,27705992,https://shopee.vn/shopmexoai,xe đẩy cho bé,shopmexoai
2837260663,https://shopee.vn/product/162914831/2837260663,"Sale Sốc Xe Đẩy Du Lịch 5 Bánh Gấp Gọn, Bánh Xe Có Đèn",235000.0,162914831,https://shopee.vn/banbuon_xetreem,Bán buôn xe trẻ em,banbuon_xetreem
5733265143,https://shopee.vn/product/169779654/5733265143,"Cũi em bé an toàn (có sẵn), 4 bánh xe có khoá, nan bo tròn 100%, Cũi bằng gỗ qua hấp sấy (giá xưởng rẻ)",476000.0,169779654,https://shopee.vn/xuonggophuhuu,xuonggophuhuu,xuonggophuhuu
7903640361,https://shopee.vn/product/150782148/7903640361,Nôi sơ sinh Runakids hình vương miệng,266000.0,150782148,https://shopee.vn/runakids,Runakids,runakids
80661045,https://shopee.vn/product/8046598/80661045,"Xe đẩy trẻ em nhiều tư thế gấp gọn BLB 769 (Ghi, Xanh, Đỏ) có đệm rời, lưng nằm lưới thoáng mát.",689000.0,8046598,https://shopee.vn/megakids,Megakids Vietnam,megakids
2632958166,https://shopee.vn/product/32547225/2632958166,Xe đẩy 2 chiều cao cấp Joovy Qatta S113,1550000.0,32547225,https://shopee.vn/shopmenhim2909,shopmenhim2909,shopmenhim2909
2213408673,https://shopee.vn/product/14447304/2213408673,Xe đẩy cao cấp 4 bánh Baobaohao,689000.0,14447304,https://shopee.vn/sanphammevabe.vn,Sản Phẩm Mẹ Và Bé,sanphammevabe.vn
834542310,https://shopee.vn/product/51944887/834542310,Xe đẩy trẻ em Baobaohao 722C - B289 (khách kéo sang để xem ảnh thực tế),495000.0,51944887,https://shopee.vn/xeday_gheanchobe,EZ BABY1,xeday_gheanchobe
1806366155,https://shopee.vn/product/35946398/1806366155,Xe đẩy 2 chiều 3 tư thế,669000.0,35946398,https://shopee.vn/baohanshop12,Baohanshop12,baohanshop12
1632419510,https://shopee.vn/product/20182247/1632419510,Xe đẩy lưới du lịch Kinlee (nhiều màu),540000.0,20182247,https://shopee.vn/forbabyshop,forbabyshop,forbabyshop
