product_id,product_url,name,price,shop_id,date
6217107483,https://shopee.vn/product/30062106/6217107483,"Tinh Dầu Tràm Gió💋FREESHIP💋Tinh Dầu Tràm Nguyên Chất, Chai Thuỷ Tinh 100ml",99000.0,30062106,2020-06-11
3126569449,https://shopee.vn/product/188196644/3126569449,Bột Gelatine Hữu Cơ Ruf Set 3 gói,105000.0,188196644,2020-06-11
6024444178,https://shopee.vn/product/219403445/6024444178,"Tã Quần Cao Cấp MIJUKU M100, L100, XL100, XXL100, XXXL100 Siêu Thấm Hút, Mỏng Nhẹ",390000.0,219403445,2020-06-11
6612564230,https://shopee.vn/product/25934921/6612564230,Yếm Mickey cực chất cho bé,225000.0,25934921,2020-06-11
6616862770,https://shopee.vn/product/188196644/6616862770,LĂN BÔI TRỊ MUỖI ĐỐT VÀ CÔN TRÙNG CẮN MUHI,150000.0,188196644,2020-06-11
2535357988,https://shopee.vn/product/46666479/2535357988,bộ bát thìa ăn dặm cho bé,35000.0,46666479,2020-06-11
5926958614,https://shopee.vn/product/242864794/5926958614,XỊT CHỐNG MUỖI VÀ CÔN TRÙNG CẮN BÉ  PEDIAKID BOUCLIER,200000.0,242864794,2020-06-11
5731039357,https://shopee.vn/product/241049478/5731039357,🌼 🌼NƯỚC TẮM THẢO DƯỢC HUYỀN THOẠI - NƯỚC TẮM CHO BÉ (LỌ 150ML),135000.0,241049478,2020-06-11
2135540451,https://shopee.vn/product/105219919/2135540451,Shop Bố Ken Quấn Chũn CocoonThần Thánh [Giúp Bé Ngủ Ngon Sâu Giấc Không Giật Mình],225000.0,105219919,2020-06-11
6513654650,https://shopee.vn/product/92641192/6513654650,Tã Bỉm Dán/Quần YOULI XANH - GOLD Đủ Size S112/M96/M92/L84/XL80/XXL72/XXXL68,105000.0,92641192,2020-06-11
7416413256,https://shopee.vn/product/188196644/7416413256,Syrup Mật thốt nốt hữu cơ 100ml Confirel,65000.0,188196644,2020-06-11
7603988316,https://shopee.vn/product/168878927/7603988316,Mẫu dùng thử bỉm quần KoKo Fit Hàn Quốc size M/L/XL/Jumbo (2 miếng),12870.0,168878927,2020-06-11
5130424104,https://shopee.vn/product/30430335/5130424104,Bát lúa mạch 3 ngăn hình gấu kèm thìa dĩa cho bé ăn dặm,41000.0,30430335,2020-06-11
5228043761,https://shopee.vn/product/104623467/5228043761,Bộ chế biến ăn dặm kiểu Nhật cho bé yêu,89000.0,104623467,2020-06-11
776808179,https://shopee.vn/product/11175504/776808179,(Cộng Miếng)Tã Dán/ Quần Merries Nội Địa Nhật NB90+6/ S82+6 / M64+4 / L58/ M58+6/L44+6/XL38+6/XXL26+2,329000.0,11175504,2020-06-11
5501097676,https://shopee.vn/product/76166944/5501097676,Nồi Xông Hơi 4 lít- Bảo hành 12 tháng chính hãng,995170.0,76166944,2020-06-11
2337722766,https://shopee.vn/product/11175504/2337722766,Bỉm Yubest Natural/ Angel/ Gold dán/quần M108/L96/l78Xl84/XL72/XXl72,235000.0,11175504,2020-06-11
3423643278,https://shopee.vn/product/24279139/3423643278,Máy hút sữa real bubee,289000.0,24279139,2020-06-11
