product_id,product_url,name,price,shop_id,shop_url,shop_name
23797072,https://www.sendo.vn/rao-lap-rap-bao-ve-be-yeu-ddpe-baby-safety-66x150cm-home-and-garden-23797072.html,Rào lắp ráp bảo vệ bé yêu DDPE BABY SAFETY 66x150cm - Home and Garden,750000,321963,https://www.sendo.vn/shop/home-and-garden,Home and Garden
11155504,https://www.sendo.vn/noi-cui-dien-tu-dong-cho-be-co-phat-nhac-11155504.html,Nôi cũi điện tự động cho bé có phát nhạc,1480000,253949,https://www.sendo.vn/shop/smartshop1688,SmartShop1688
17130142,https://www.sendo.vn/cui-quay-cho-be-17130142.html,CŨI QUÂY CHO BÉ,480000,325745,https://www.sendo.vn/shop/giadunganan,giadunganan
22976313,https://www.sendo.vn/dem-ngu-dung-tu-the-baby-22976313.html,ĐỆM NGỦ ĐÚNG TƯ THẾ BABY,210000,456749,https://www.sendo.vn/shop/gia-dung-gia-dinh-viet,Gia Dụng Gia Đình Việt
22657890,https://www.sendo.vn/tui-ngu-cho-be-22657890.html,Túi ngủ cho bé,230000,333778,https://www.sendo.vn/shop/muangay247,MUANGAY247
17201509,https://www.sendo.vn/giuong-cui-noi-4-in1-thong-minh-cho-tre-so-sinh-alfor-baby-17201509.html,"Giường cũi, nôi 4 in1 thông minh cho trẻ sơ sinh  Alfor Baby",5890000,37228,https://www.sendo.vn/shop/dautram_ngoctuyet,dautram_ngoctuyet
17194190,https://www.sendo.vn/bo-02-goi-om-chan-hinh-meo-cho-be-baby-qt-10-x-50cm-cam-17194190.html,Bộ 02 Gối Ôm Chặn Hình Mèo Cho Bé Baby QT 10 x 50cm Cam,200000,53609,https://www.sendo.vn/shop/cong-dong-xanh,Cộng Đồng Xanh
17154487,https://www.sendo.vn/combo-may-dua-vong-em-be-vinanoi-a100-suc-dua-100kg-sieu-em-va-xe-tap-di-cho-be-17154487.html,COMBO Máy đưa võng em bé VINANOI - A100 sức đưa 100kg siêu êm và Xe tập đi cho bé,1000000,42682,https://www.sendo.vn/shop/mebeonline,MeBeOnline
17734361,https://www.sendo.vn/chieu-lua-dieu-hoa-kem-goi-cho-be-60x120cm-17734361.html,Chiếu Lụa Điều Hòa Kém Gối Cho Bé 60x120cm,125000,419073,https://www.sendo.vn/shop/zin-baby,Zin Baby
18705270,https://www.sendo.vn/quay-bong-nhua-2m-gom-10-canh-nho-2-canh-lon-50-banh-1-tham-18705270.html,quay bóng nhựa 2m gồm 10 cánh nhỏ 2 cánh lớn 50 banh 1 thảm,1800000,500568,https://www.sendo.vn/shop/gia-dung-sieu-re-ba-ria,Gia dụng SIÊU RẺ Bà Rịa
